Trip_ID,Pickup_Area,Drop_Area,Distance_km,Trip_Duration_min,Time_of_Day,Day_of_Week,Traffic_Level,Weather,Peak_Hour,Passenger_Count,Cab_Type,Payment_Mode,Driver_Rating,Fare_INR
TRIP00043,Talab Tillo,Trikuta Nagar,29.02,48,Evening,Tuesday,Low,Sunny,No,4,Mini,Cash,4.9,473.18
TRIP00044,Bus Stand,Trikuta Nagar,10.47,24,Evening,Wednesday,Medium,Sunny,No,1,SUV,Cash,4.3,284.64
TRIP00045,Muthi,Sainik Colony,34.13,76,Evening,Monday,Medium,Rainy,Yes,2,Mini,Cash,3.8,638.28
TRIP00046,Channi Himmat,Roop Nagar,31.21,52,Afternoon,Sunday,Low,Rainy,No,1,Sedan,Cash,4.8,614.41
TRIP00047,Talab Tillo,Trikuta Nagar,14.12,21,Afternoon,Wednesday,Low,Cloudy,No,3,Mini,Card,3.5,264.75
TRIP00048,Bahu Plaza,Patoli,22.65,75,Morning,Thursday,High,Cloudy,Yes,2,Mini,Cash,4.5,488.05
TRIP00049,Rehari,Bantalab,14.41,38,Night,Friday,Medium,Sunny,No,1,Mini,Card,3.8,303.03
TRIP00050,Bus Stand,Bakshi Nagar,8.47,27,Evening,Wednesday,High,Sunny,Yes,1,Mini,UPI,3.9,286.35
TRIP00051,Bantalab,Bahu Plaza,5.94,21,Morning,Monday,High,Sunny,Yes,4,SUV,UPI,4.8,323.01
TRIP00052,Bantalab,Bahu Plaza,8.19,24,Morning,Sunday,High,Sunny,Yes,1,Mini,UPI,3.7,288.92
TRIP00053,Narwal,Bahu Plaza,22.76,38,Afternoon,Friday,Low,Sunny,No,4,Mini,Cash,4.8,368.69
TRIP00054,Jewel Chowk,Satwari,38.44,83,Morning,Sunday,Medium,Cloudy,Yes,2,Mini,Card,3.6,674.53
TRIP00055,Talab Tillo,Satwari,12.36,38,Morning,Saturday,High,Sunny,Yes,3,Mini,Card,4.4,366.42
TRIP00056,Bahu Plaza,Narwal,6.81,21,Morning,Tuesday,Medium,Sunny,Yes,3,Sedan,Cash,3.7,262.97
TRIP00057,Bantalab,Patoli,20.26,50,Morning,Monday,Medium,Cloudy,No,2,Mini,Card,4.8,380.37
TRIP00058,Narwal,Muthi,27.22,50,Morning,Monday,Low,Sunny,No,3,Mini,UPI,5.0,426.96
TRIP00059,Trikuta Nagar,Bus Stand,16.93,25,Afternoon,Monday,Low,Cloudy,No,4,Mini,Card,3.6,304.57
TRIP00060,Roop Nagar,Satwari,31.13,71,Night,Sunday,Medium,Sunny,No,2,Mini,Card,4.0,537.8
TRIP00061,Kunjwani,Jewel Chowk,22.42,38,Night,Thursday,Low,Sunny,No,2,Sedan,Card,3.7,438.52
TRIP00062,Narwal,Muthi,39.7,92,Night,Thursday,Medium,Sunny,No,3,SUV,Card,4.6,920.31
TRIP00063,Muthi,Sainik Colony,22.5,54,Afternoon,Friday,Medium,Rainy,No,4,Mini,Cash,4.9,441.99
TRIP00064,Talab Tillo,Sainik Colony,12.64,29,Evening,Saturday,Medium,Sunny,Yes,4,Mini,Cash,4.9,342.33
TRIP00065,Janipur,Kunjwani,31.25,111,Morning,Saturday,High,Sunny,Yes,2,SUV,Cash,4.9,821.96
TRIP00066,Sainik Colony,Bus Stand,4.91,19,Evening,Monday,High,Cloudy,Yes,2,Mini,UPI,4.2,252.75
TRIP00067,Trikuta Nagar,Sainik Colony,4.13,10,Afternoon,Saturday,Low,Sunny,No,4,Sedan,Card,3.6,184.71
TRIP00068,Jewel Chowk,Trikuta Nagar,39.9,85,Evening,Thursday,Medium,Cloudy,No,2,Mini,Card,3.9,607.38
TRIP00069,Patoli,Channi Himmat,14.98,34,Afternoon,Tuesday,Medium,Cloudy,No,1,Mini,Card,4.8,287.23
TRIP00070,Bus Stand,Patoli,10.06,15,Evening,Thursday,Low,Rainy,Yes,2,SUV,UPI,4.2,367.06
TRIP00071,Bahu Plaza,Jewel Chowk,27.92,51,Afternoon,Wednesday,Low,Sunny,No,3,Mini,Card,3.9,441.71
TRIP00072,Bus Stand,Channi Himmat,11.7,42,Evening,Saturday,High,Rainy,No,3,Sedan,UPI,4.4,394.83
TRIP00073,Gandhi Nagar,Patoli,27.43,59,Evening,Saturday,Medium,Sunny,Yes,1,Sedan,Cash,4.7,577.82
TRIP00074,Roop Nagar,Bahu Plaza,36.48,62,Afternoon,Thursday,Low,Sunny,No,3,SUV,UPI,3.9,798.76
TRIP00075,University,Jewel Chowk,5.49,7,Night,Tuesday,Low,Cloudy,No,4,Sedan,Card,4.0,202.55
TRIP00076,Kunjwani,Railway Station,15.37,58,Evening,Wednesday,High,Rainy,Yes,2,Mini,Cash,3.5,413.45
TRIP00077,Channi Himmat,Bantalab,3.47,5,Evening,Saturday,Medium,Sunny,Yes,3,SUV,Cash,3.7,242.01
TRIP00078,Sainik Colony,Gandhi Nagar,27.15,94,Evening,Friday,High,Sunny,Yes,1,Mini,Cash,4.4,514.47
TRIP00079,Talab Tillo,Rehari,18.34,68,Morning,Wednesday,High,Sunny,Yes,3,SUV,UPI,4.1,570.53
TRIP00080,Kunjwani,Talab Tillo,4.58,10,Morning,Saturday,Low,Cloudy,Yes,2,Mini,Card,3.8,210.93
TRIP00081,Bakshi Nagar,Rehari,10.09,19,Evening,Sunday,Low,Rainy,No,2,Mini,Card,3.9,238.94
TRIP00082,Trikuta Nagar,Muthi,1.58,5,Evening,Tuesday,Low,Sunny,Yes,4,Mini,Card,3.7,152.4
TRIP00083,Jewel Chowk,Trikuta Nagar,24.15,46,Afternoon,Tuesday,Low,Cloudy,No,3,SUV,Cash,4.5,577.42
TRIP00084,Bantalab,Kunjwani,17.62,32,Morning,Saturday,Low,Sunny,No,1,Sedan,UPI,3.9,348.35
TRIP00085,Channi Himmat,Satwari,24.3,38,Morning,Friday,Low,Cloudy,Yes,2,SUV,Cash,4.2,606.6
TRIP00086,Trikuta Nagar,Rehari,17.22,38,Morning,Thursday,Medium,Foggy,Yes,4,Sedan,UPI,3.6,473.86
TRIP00087,Narwal,Gandhi Nagar,15.53,59,Morning,Monday,High,Sunny,Yes,3,Mini,Card,4.9,398.9
TRIP00088,Bantalab,Channi Himmat,14.71,54,Evening,Tuesday,High,Rainy,Yes,3,Mini,UPI,4.6,435.58
TRIP00089,Bahu Plaza,Bus Stand,39.01,130,Evening,Friday,High,Cloudy,Yes,3,Sedan,UPI,3.8,818.6
TRIP00090,Railway Station,Bakshi Nagar,6.59,22,Evening,Monday,High,Sunny,Yes,2,Sedan,Cash,4.1,294.09
TRIP00091,Narwal,Muthi,31.3,52,Evening,Monday,Low,Cloudy,No,1,Mini,Cash,4.2,464.33
TRIP00092,Patoli,Gandhi Nagar,9.41,16,Evening,Wednesday,Medium,Cloudy,Yes,3,Mini,UPI,3.8,280.37
TRIP00093,Channi Himmat,Kunjwani,9.24,22,Morning,Wednesday,Medium,Sunny,Yes,2,Mini,Cash,4.3,267.16
TRIP00094,Narwal,Bahu Plaza,14.81,20,Afternoon,Saturday,Low,Rainy,Yes,4,SUV,Card,4.1,477.83
TRIP00095,University,Kunjwani,13.67,42,Evening,Friday,High,Sunny,Yes,1,Mini,UPI,4.2,358.83
TRIP00096,Janipur,Sainik Colony,30.09,97,Morning,Sunday,High,Sunny,Yes,3,Mini,Cash,4.6,597.85
TRIP00097,Bantalab,Railway Station,7.77,23,Morning,Sunday,Medium,Cloudy,Yes,4,Mini,Card,4.9,300.83
TRIP00098,Gandhi Nagar,Trikuta Nagar,6.89,23,Morning,Thursday,High,Sunny,Yes,1,Mini,Cash,4.2,253.18
TRIP00099,Bantalab,Talab Tillo,26.14,41,Night,Monday,Low,Sunny,No,1,Sedan,Cash,4.9,497.51
TRIP00100,Satwari,Roop Nagar,6.88,17,Morning,Monday,Medium,Foggy,No,2,Mini,UPI,3.9,209.73
TRIP00101,Kunjwani,University,15.19,23,Night,Thursday,Low,Sunny,No,3,Sedan,UPI,4.0,353.75
TRIP00102,University,Janipur,26.61,45,Night,Sunday,Low,Cloudy,No,3,SUV,Card,4.5,679.34
TRIP00103,Muthi,Bus Stand,13.07,16,Afternoon,Sunday,Low,Cloudy,No,1,SUV,Card,4.5,335.67
TRIP00104,Muthi,Gandhi Nagar,38.1,64,Afternoon,Sunday,Low,Sunny,No,1,Mini,Card,4.7,576.59
TRIP00105,Narwal,Bus Stand,25.1,87,Evening,Tuesday,High,Cloudy,Yes,2,Sedan,Card,4.2,585.73
TRIP00106,Bantalab,Satwari,18.32,30,Morning,Saturday,Low,Sunny,No,4,SUV,UPI,4.1,465.85
TRIP00107,Rehari,Kunjwani,15.89,40,Evening,Tuesday,Medium,Sunny,No,4,Mini,Cash,4.3,316.12
TRIP00108,Narwal,Gandhi Nagar,30.76,66,Morning,Friday,Medium,Rainy,Yes,4,Mini,Cash,4.9,602.1
TRIP00109,Roop Nagar,Janipur,16.06,58,Morning,Tuesday,High,Rainy,Yes,2,Sedan,UPI,3.6,478.03
TRIP00110,Channi Himmat,Railway Station,25.0,51,Night,Monday,Medium,Sunny,No,4,Sedan,UPI,4.7,538.15
TRIP00111,Narwal,Jewel Chowk,25.92,89,Evening,Monday,High,Sunny,Yes,2,Mini,Card,3.7,511.18
TRIP00112,Gandhi Nagar,Narwal,17.25,44,Evening,Monday,Medium,Foggy,Yes,1,Mini,Cash,4.8,371.86
TRIP00113,Kunjwani,Railway Station,1.63,11,Evening,Wednesday,High,Sunny,Yes,3,Sedan,UPI,3.6,210.33
TRIP00114,Gandhi Nagar,Channi Himmat,31.39,56,Afternoon,Saturday,Low,Sunny,No,4,Sedan,UPI,3.9,602.71
TRIP00115,Railway Station,Sainik Colony,13.09,18,Afternoon,Sunday,Low,Cloudy,No,3,Mini,UPI,4.8,270.21
TRIP00116,Trikuta Nagar,Satwari,35.69,79,Evening,Thursday,Medium,Cloudy,Yes,3,Mini,UPI,4.6,637.64
TRIP00117,Satwari,Gandhi Nagar,22.27,39,Afternoon,Monday,Low,Sunny,No,2,Sedan,Card,4.2,430.67
TRIP00118,Bakshi Nagar,Jewel Chowk,24.98,80,Afternoon,Saturday,High,Sunny,No,3,Sedan,Card,4.7,566.91
TRIP00119,Satwari,Bus Stand,31.47,105,Morning,Monday,High,Sunny,Yes,1,SUV,Card,3.7,807.29
TRIP00120,Kunjwani,Rehari,23.38,49,Evening,Thursday,Medium,Foggy,Yes,2,Mini,Cash,4.3,463.75
TRIP00121,Satwari,Trikuta Nagar,18.4,67,Night,Wednesday,High,Sunny,No,1,Mini,Cash,3.8,403.23
TRIP00122,Rehari,Channi Himmat,39.48,137,Evening,Saturday,High,Rainy,Yes,2,SUV,Cash,4.3,1023.7
TRIP00123,Roop Nagar,Kunjwani,20.27,44,Afternoon,Friday,Medium,Sunny,No,1,Sedan,UPI,4.0,401.6
TRIP00124,Gandhi Nagar,Janipur,23.42,52,Morning,Wednesday,Medium,Cloudy,Yes,2,Mini,UPI,4.1,450.58
TRIP00125,Kunjwani,Sainik Colony,7.32,21,Night,Tuesday,High,Rainy,No,3,Sedan,UPI,4.5,325.2
TRIP00126,Jewel Chowk,Rehari,21.81,69,Evening,Tuesday,High,Sunny,Yes,3,Sedan,Card,3.6,547.2
TRIP00127,Roop Nagar,Channi Himmat,23.49,83,Evening,Sunday,High,Sunny,Yes,3,SUV,Card,4.9,689.35
TRIP00128,Railway Station,University,12.6,34,Morning,Monday,Medium,Sunny,Yes,2,Mini,Cash,4.8,294.72
TRIP00129,Patoli,Narwal,15.45,32,Evening,Wednesday,Medium,Sunny,Yes,1,Mini,Cash,4.9,341.81
TRIP00130,Roop Nagar,Jewel Chowk,7.23,8,Afternoon,Friday,Low,Sunny,No,4,SUV,Cash,4.8,227.4
TRIP00131,Rehari,Satwari,18.83,27,Morning,Friday,Low,Sunny,Yes,4,SUV,Cash,4.3,505.53
TRIP00132,Kunjwani,Sainik Colony,15.27,38,Afternoon,Monday,Medium,Sunny,No,1,Sedan,Cash,4.3,328.02
TRIP00133,University,Kunjwani,24.83,79,Morning,Monday,High,Sunny,Yes,2,SUV,UPI,4.4,664.77
TRIP00134,Patoli,Bahu Plaza,28.83,99,Evening,Friday,High,Sunny,Yes,3,Mini,UPI,4.1,569.01
TRIP00135,Jewel Chowk,Muthi,20.88,43,Afternoon,Friday,Medium,Sunny,No,4,Sedan,Card,4.0,454.75
TRIP00136,Channi Himmat,Gandhi Nagar,38.91,132,Evening,Tuesday,High,Sunny,Yes,4,Sedan,UPI,4.7,834.58
TRIP00137,Janipur,Kunjwani,8.44,16,Afternoon,Thursday,Medium,Sunny,No,4,Sedan,Card,4.6,245.79
TRIP00138,Channi Himmat,Bahu Plaza,26.83,45,Evening,Wednesday,Low,Sunny,No,3,Mini,Card,4.2,414.54
TRIP00139,Kunjwani,University,38.94,136,Morning,Wednesday,High,Sunny,Yes,3,Mini,Cash,3.7,697.06
TRIP00140,Roop Nagar,Talab Tillo,14.46,29,Evening,Tuesday,Medium,Cloudy,Yes,4,Mini,Card,3.9,365.14
TRIP00141,Rehari,Satwari,37.39,124,Evening,Tuesday,High,Sunny,Yes,2,Mini,Card,3.8,667.24
TRIP00142,Bahu Plaza,Bus Stand,27.57,42,Morning,Friday,Low,Cloudy,No,4,SUV,Cash,4.5,634.17
TRIP00143,Bakshi Nagar,Gandhi Nagar,30.98,111,Evening,Tuesday,High,Rainy,Yes,2,SUV,Cash,4.8,838.51
TRIP00144,Kunjwani,Muthi,20.32,45,Night,Sunday,Medium,Sunny,No,1,Sedan,Cash,3.9,468.28
TRIP00145,Bahu Plaza,Patoli,34.19,58,Afternoon,Tuesday,Low,Cloudy,No,2,Sedan,UPI,4.6,609.83
TRIP00146,Channi Himmat,Jewel Chowk,24.83,38,Evening,Thursday,Low,Sunny,No,2,Sedan,UPI,4.2,451.35
TRIP00147,Satwari,Bahu Plaza,30.4,63,Night,Wednesday,Medium,Sunny,No,2,Mini,UPI,4.5,522.78
TRIP00148,Roop Nagar,Janipur,37.0,59,Night,Sunday,Low,Rainy,No,2,Mini,UPI,4.9,647.67
TRIP00149,Bus Stand,Trikuta Nagar,15.57,40,Evening,Thursday,Medium,Rainy,No,1,Sedan,Card,4.2,357.49
TRIP00150,Bantalab,Roop Nagar,33.32,49,Night,Tuesday,Low,Sunny,No,1,Mini,Card,3.8,513.47
TRIP00151,Sainik Colony,Jewel Chowk,32.54,74,Afternoon,Friday,Medium,Sunny,No,3,Sedan,Card,3.5,626.99
TRIP00152,Bakshi Nagar,Janipur,2.77,9,Afternoon,Monday,Low,Rainy,No,4,SUV,UPI,3.9,195.75
TRIP00153,Rehari,Talab Tillo,26.19,95,Afternoon,Thursday,High,Sunny,No,2,Mini,Card,4.8,469.26
TRIP00154,Channi Himmat,Sainik Colony,5.97,10,Night,Sunday,Low,Sunny,Yes,4,Sedan,Card,4.1,271.17
TRIP00155,Rehari,Gandhi Nagar,8.35,29,Night,Sunday,High,Sunny,Yes,1,Sedan,UPI,3.8,358.76
TRIP00156,Bahu Plaza,Channi Himmat,35.02,80,Morning,Monday,Medium,Sunny,Yes,1,SUV,UPI,4.3,837.35
TRIP00157,Gandhi Nagar,Bantalab,13.44,28,Evening,Saturday,Low,Rainy,No,2,SUV,Cash,4.0,402.19
TRIP00158,Narwal,Satwari,36.55,55,Evening,Thursday,Low,Sunny,Yes,4,Sedan,Card,4.0,717.09
TRIP00159,Narwal,Bantalab,30.42,67,Afternoon,Sunday,Medium,Sunny,No,1,Mini,Card,4.1,492.11
TRIP00160,Patoli,Gandhi Nagar,10.94,29,Afternoon,Monday,Medium,Sunny,No,2,Sedan,UPI,3.9,257.68
TRIP00161,Rehari,Muthi,30.71,72,Evening,Friday,Medium,Rainy,Yes,1,Mini,UPI,4.9,575.1
TRIP00162,Muthi,Roop Nagar,28.45,62,Afternoon,Tuesday,Medium,Sunny,No,3,Mini,Cash,3.9,482.93
TRIP00163,Sainik Colony,Bantalab,29.17,53,Evening,Wednesday,Low,Sunny,No,2,Sedan,Card,3.7,531.09
TRIP00164,Roop Nagar,Muthi,17.29,59,Morning,Wednesday,High,Sunny,Yes,3,Sedan,Cash,4.6,477.62
TRIP00165,Trikuta Nagar,Gandhi Nagar,14.73,54,Morning,Friday,High,Sunny,Yes,1,Sedan,Card,3.6,403.05
TRIP00166,Jewel Chowk,Bantalab,33.86,75,Morning,Saturday,Medium,Sunny,Yes,4,Mini,Card,4.2,611.54
TRIP00167,Muthi,Janipur,21.65,71,Morning,Wednesday,High,Cloudy,Yes,2,Sedan,UPI,4.9,541.99
TRIP00168,Trikuta Nagar,Gandhi Nagar,10.84,14,Afternoon,Sunday,Low,Sunny,No,2,Sedan,Cash,4.5,251.82
TRIP00169,Rehari,Kunjwani,22.56,42,Morning,Monday,Low,Rainy,Yes,3,Sedan,Card,5.0,516.85
TRIP00170,Railway Station,Jewel Chowk,36.15,64,Evening,Friday,Low,Sunny,Yes,1,SUV,UPI,4.9,825.61
TRIP00171,Railway Station,Narwal,30.34,52,Evening,Thursday,Low,Sunny,No,4,Sedan,Card,4.8,560.64
TRIP00172,Patoli,University,39.55,92,Evening,Friday,Medium,Sunny,Yes,1,Mini,Cash,4.4,638.94
TRIP00173,Bahu Plaza,Channi Himmat,25.73,59,Evening,Thursday,Medium,Rainy,Yes,4,Mini,UPI,4.7,527.95
TRIP00174,Sainik Colony,Rehari,7.01,12,Evening,Saturday,Medium,Sunny,Yes,3,Mini,Cash,4.0,255.75
TRIP00175,Narwal,University,18.5,34,Evening,Thursday,Low,Sunny,Yes,3,Sedan,Cash,3.5,426.75
TRIP00176,Trikuta Nagar,Talab Tillo,22.82,37,Night,Tuesday,Low,Sunny,No,3,Mini,Cash,4.2,398.29
TRIP00177,Jewel Chowk,Narwal,19.89,42,Morning,Wednesday,Medium,Sunny,No,4,Sedan,UPI,3.7,437.85
TRIP00178,Talab Tillo,Muthi,32.36,69,Afternoon,Wednesday,Medium,Cloudy,No,3,Sedan,Cash,4.4,645.7
TRIP00179,Bantalab,Talab Tillo,38.78,132,Morning,Saturday,High,Cloudy,Yes,3,Mini,Cash,4.0,729.51
TRIP00180,Janipur,Railway Station,27.59,90,Evening,Saturday,High,Sunny,Yes,1,Mini,Cash,4.5,553.43
TRIP00181,Bus Stand,Bantalab,28.89,99,Evening,Monday,High,Sunny,Yes,4,Mini,Card,3.6,594.0
TRIP00182,Narwal,Rehari,5.27,13,Morning,Saturday,High,Sunny,Yes,4,SUV,Cash,4.9,324.16
TRIP00183,Roop Nagar,Rehari,20.92,44,Evening,Friday,Medium,Sunny,Yes,2,Mini,Cash,5.0,426.58
TRIP00184,Satwari,Roop Nagar,4.35,9,Evening,Saturday,Medium,Sunny,Yes,4,Mini,Cash,4.2,236.56
TRIP00185,Bakshi Nagar,Bus Stand,32.6,72,Morning,Sunday,Medium,Rainy,Yes,2,SUV,Card,3.8,867.75
TRIP00186,University,Jewel Chowk,10.04,25,Afternoon,Tuesday,Medium,Sunny,No,2,Sedan,Cash,4.4,243.81
TRIP00187,Roop Nagar,Kunjwani,30.34,108,Evening,Monday,High,Sunny,Yes,2,Mini,Cash,3.7,570.82
TRIP00188,Janipur,Bus Stand,16.16,32,Afternoon,Monday,Medium,Cloudy,No,3,Sedan,Card,4.4,366.72
TRIP00189,Bakshi Nagar,Bantalab,8.14,25,Evening,Friday,High,Sunny,Yes,4,Mini,Card,4.3,305.49
TRIP00190,Roop Nagar,Narwal,8.3,22,Evening,Friday,Medium,Sunny,Yes,4,Mini,Card,4.3,271.37
TRIP00191,Satwari,Patoli,33.76,77,Afternoon,Monday,Medium,Sunny,No,2,Mini,Card,3.9,538.86
TRIP00192,Talab Tillo,Satwari,22.44,72,Morning,Monday,High,Foggy,Yes,1,Mini,Card,4.2,496.62
TRIP00193,Bantalab,Bus Stand,30.3,71,Morning,Monday,Medium,Rainy,Yes,1,Mini,UPI,3.8,567.21
TRIP00194,Railway Station,Bahu Plaza,17.7,37,Evening,Sunday,Medium,Sunny,Yes,3,Mini,Card,4.3,397.12
TRIP00195,Janipur,Bakshi Nagar,34.46,53,Night,Saturday,Low,Cloudy,No,1,Mini,Cash,4.8,564.32
TRIP00196,Trikuta Nagar,Narwal,33.31,73,Evening,Saturday,Medium,Cloudy,Yes,4,Sedan,Cash,3.6,722.31
TRIP00197,Bus Stand,Trikuta Nagar,37.52,64,Afternoon,Thursday,Low,Cloudy,No,4,Sedan,Card,4.5,693.25
TRIP00198,Gandhi Nagar,Trikuta Nagar,38.76,126,Evening,Thursday,High,Sunny,Yes,4,Sedan,Cash,4.8,834.68
TRIP00199,Sainik Colony,Trikuta Nagar,18.92,66,Morning,Sunday,High,Foggy,Yes,2,Mini,Card,4.0,465.47
TRIP00200,Rehari,Jewel Chowk,15.5,50,Night,Tuesday,High,Cloudy,Yes,4,Sedan,Card,3.6,481.34
TRIP00201,Trikuta Nagar,Sainik Colony,24.15,81,Evening,Thursday,High,Rainy,Yes,4,SUV,Card,3.7,735.92
TRIP00202,Jewel Chowk,Talab Tillo,4.99,17,Afternoon,Wednesday,High,Cloudy,Yes,2,Mini,UPI,4.3,263.54
TRIP00203,University,Bus Stand,25.5,62,Morning,Thursday,Medium,Sunny,Yes,2,SUV,UPI,4.4,646.44
TRIP00204,Talab Tillo,Kunjwani,6.45,24,Morning,Monday,High,Cloudy,Yes,1,Mini,Card,4.8,254.51
TRIP00205,Muthi,Jewel Chowk,16.28,62,Evening,Sunday,High,Sunny,No,4,Mini,Card,4.4,400.66
TRIP00206,Jewel Chowk,Bahu Plaza,6.15,8,Night,Friday,Low,Sunny,No,1,Mini,UPI,4.4,172.63
TRIP00207,Patoli,Janipur,38.0,59,Afternoon,Wednesday,Low,Sunny,No,1,Sedan,Card,4.3,652.3
TRIP00208,Channi Himmat,Gandhi Nagar,20.94,43,Morning,Sunday,Medium,Sunny,Yes,1,Sedan,Cash,4.5,497.78
TRIP00209,Roop Nagar,Bus Stand,5.52,20,Evening,Monday,High,Cloudy,Yes,2,Mini,Card,3.5,272.25
